term,estimate,std.error,D,sim_scenaio
R1_K[1],0.918918579836994,0.112799014989946,10,JPLP_sim
R1_K[2],0.25606128031102,0.0959699468436869,10,JPLP_sim
R1_K[3],0.151531092113602,0.0466284076485354,10,JPLP_sim
mu0_true,0.727611273391354,0.316435467616846,10,JPLP_sim
sigma0,0.813530338931149,0.227291367661665,10,JPLP_sim
beta,1.22772977023938,0.0560604881210452,10,JPLP_sim
kappa,0.791230789522325,0.0379829639197909,10,JPLP_sim
R1_K[1],0.971082296883867,0.0507363696281825,10,JPLP_sim
R1_K[2],0.261712870659674,0.0664238592828778,10,JPLP_sim
R1_K[3],0.241519966090327,0.0323429510554172,10,JPLP_sim
mu0_true,0.150961248440235,0.292276768881349,10,JPLP_sim
sigma0,0.187343245758306,0.0864765541618377,10,JPLP_sim
beta,1.16087086862026,0.068247158793026,10,JPLP_sim
kappa,0.879340543894596,0.0514037995649994,10,JPLP_sim
R1_K[1],1.11035740656748,0.0920780346255905,10,JPLP_sim
R1_K[2],0.316086798477794,0.0463306293306297,10,JPLP_sim
R1_K[3],0.209028056937358,0.0401915427391981,10,JPLP_sim
mu0_true,-0.0731299416595315,0.152969204473561,10,JPLP_sim
sigma0,0.416150942413869,0.147475024415348,10,JPLP_sim
beta,1.26652268564516,0.0997774252720193,10,JPLP_sim
kappa,0.750573875175526,0.06721404385258,10,JPLP_sim
R1_K[1],1.03732147525223,0.105741553609362,10,JPLP_sim
R1_K[2],0.217594731017608,0.0673695605471537,10,JPLP_sim
R1_K[3],0.1595287652508,0.0484218649550162,10,JPLP_sim
mu0_true,0.366386449712029,0.219855521180405,10,JPLP_sim
sigma0,0.501262443958781,0.186537329867141,10,JPLP_sim
beta,1.17008466723674,0.111607771348067,10,JPLP_sim
kappa,0.810265585027121,0.0798930559657344,10,JPLP_sim
R1_K[1],1.077233568957,0.140003276698022,10,JPLP_sim
R1_K[2],0.30229088935999,0.0988417513591355,10,JPLP_sim
R1_K[3],0.273346715346777,0.0678704415569316,10,JPLP_sim
mu0_true,0.193747385715933,0.278950035354934,10,JPLP_sim
sigma0,0.680728692744927,0.195467351552056,10,JPLP_sim
beta,1.14868408467755,0.0709493572377613,10,JPLP_sim
kappa,0.80618406217108,0.0516728775465235,10,JPLP_sim
R1_K[1],1.01948024602115,0.0839026414364858,10,JPLP_sim
R1_K[2],0.246415141084559,0.0573967171657886,10,JPLP_sim
R1_K[3],0.232567367980139,0.0463245175078087,10,JPLP_sim
mu0_true,-0.160368723876311,0.280832411641963,10,JPLP_sim
sigma0,0.613673521368304,0.190891381731414,10,JPLP_sim
beta,1.15213930299567,0.0629703874568311,10,JPLP_sim
kappa,0.865999595440952,0.0442416646050375,10,JPLP_sim
