term,estimate,std.error,D,sim_scenaio
R1_K[2],0.481848554094556,0.0615566446626991,10,PLP_sim_for_JPLP
R1_K[3],0.238872718373592,0.0484369283745034,10,PLP_sim_for_JPLP
mu0_true,-0.531252856261276,0.327471888473813,10,PLP_sim_for_JPLP
sigma0,0.905290731944858,0.279019243397898,10,PLP_sim_for_JPLP
beta,1.05317880002479,0.058593478522793,10,PLP_sim_for_JPLP
R1_K[1],1.22951829811698,0.0892417957999434,10,PLP_sim_for_JPLP
R1_K[2],0.445515802226378,0.128750193160917,10,PLP_sim_for_JPLP
R1_K[3],0.261095599685296,0.0417992411851518,10,PLP_sim_for_JPLP
mu0_true,0.0988973801320043,0.361128939610616,10,PLP_sim_for_JPLP
sigma0,0.389650953808865,0.128757964115308,10,PLP_sim_for_JPLP
beta,1.01700364869938,0.0575346730647916,10,PLP_sim_for_JPLP
R1_K[1],1.15104733787301,0.0853424395967715,10,PLP_sim_for_JPLP
R1_K[2],0.281061437739445,0.0931843457894018,10,PLP_sim_for_JPLP
R1_K[3],0.221967444662141,0.0563474928506882,10,PLP_sim_for_JPLP
mu0_true,0.0863501931941169,0.215224785177018,10,PLP_sim_for_JPLP
sigma0,0.547209651605143,0.174787587630112,10,PLP_sim_for_JPLP
beta,1.00343268185762,0.0648004458354208,10,PLP_sim_for_JPLP
R1_K[1],1.13502538737705,0.112542730412256,10,PLP_sim_for_JPLP
R1_K[2],0.42908998865771,0.104568209520683,10,PLP_sim_for_JPLP
R1_K[3],0.212713035603565,0.0670247235223154,10,PLP_sim_for_JPLP
mu0_true,0.0705400183785792,0.279442987181591,10,PLP_sim_for_JPLP
sigma0,0.359863324823732,0.165045786322843,10,PLP_sim_for_JPLP
beta,0.971113067375358,0.0642878298058959,10,PLP_sim_for_JPLP
R1_K[1],1.26599497227957,0.130113828713547,10,PLP_sim_for_JPLP
R1_K[2],0.180992270452305,0.0834491995489018,10,PLP_sim_for_JPLP
R1_K[3],0.155922877154243,0.0669531485727049,10,PLP_sim_for_JPLP
mu0_true,0.313182389988529,0.2300241187768,10,PLP_sim_for_JPLP
sigma0,0.701565961193964,0.203641113556176,10,PLP_sim_for_JPLP
beta,0.970932907070616,0.0382513382581614,10,PLP_sim_for_JPLP
R1_K[1],1.235925678359,0.0696215813416368,10,PLP_sim_for_JPLP
R1_K[2],0.335264154011028,0.0694413515055103,10,PLP_sim_for_JPLP
R1_K[3],0.279740644634374,0.0331829098705983,10,PLP_sim_for_JPLP
mu0_true,0.251896626255973,0.266368587007695,10,PLP_sim_for_JPLP
sigma0,0.579495317306326,0.198627343335269,10,PLP_sim_for_JPLP
beta,1.00128968556448,0.0676387300235255,10,PLP_sim_for_JPLP
R1_K[1],1.20910836691234,0.139204300168201,10,PLP_sim_for_JPLP
R1_K[2],0.431957748636395,0.120549762308959,10,PLP_sim_for_JPLP
R1_K[3],0.345724752242636,0.0648165087386312,10,PLP_sim_for_JPLP
mu0_true,-0.146301131165125,0.289389548166448,10,PLP_sim_for_JPLP
sigma0,0.304196348461934,0.122360227166274,10,PLP_sim_for_JPLP
beta,1.01183133300253,0.0582080720301391,10,PLP_sim_for_JPLP
R1_K[1],1.21845345238457,0.101175147067513,10,PLP_sim_for_JPLP
R1_K[2],0.399618227081291,0.100456522426249,10,PLP_sim_for_JPLP
R1_K[3],0.301218549285615,0.0524666383610918,10,PLP_sim_for_JPLP
mu0_true,-0.162371641851469,0.221585792519947,10,PLP_sim_for_JPLP
sigma0,0.74709940255039,0.219333028685254,10,PLP_sim_for_JPLP
beta,0.993004297758434,0.0573706367204377,10,PLP_sim_for_JPLP
R1_K[1],1.25166863275896,0.105105091543501,10,PLP_sim_for_JPLP
R1_K[2],0.444939790926919,0.0967990245573253,10,PLP_sim_for_JPLP
R1_K[3],0.27221001835849,0.050228294527626,10,PLP_sim_for_JPLP
mu0_true,0.0885799255025612,0.321308797306652,10,PLP_sim_for_JPLP
sigma0,1.1225114765808,0.300523612199207,10,PLP_sim_for_JPLP
beta,1.02355252341526,0.047459757385168,10,PLP_sim_for_JPLP
R1_K[1],1.21594176362146,0.0937932362059967,10,PLP_sim_for_JPLP
R1_K[2],0.341587781952272,0.0799441063861003,10,PLP_sim_for_JPLP
R1_K[3],0.331006667316355,0.0516404391737882,10,PLP_sim_for_JPLP
mu0_true,0.211057669532197,0.399143694992529,10,PLP_sim_for_JPLP
sigma0,0.557066122758603,0.171369764159317,10,PLP_sim_for_JPLP
beta,1.03862779472653,0.0490093542824561,10,PLP_sim_for_JPLP
R1_K[1],1.06121371057522,0.0738923480553863,10,PLP_sim_for_JPLP
R1_K[2],0.474617399872739,0.0812762507559422,10,PLP_sim_for_JPLP
R1_K[3],0.309299643675383,0.0589604281786832,10,PLP_sim_for_JPLP
mu0_true,-0.139778053795095,0.243375535275122,10,PLP_sim_for_JPLP
sigma0,0.692593677367965,0.207059848243753,10,PLP_sim_for_JPLP
beta,0.993428901486442,0.0560028888743365,10,PLP_sim_for_JPLP
R1_K[1],1.14161009536464,0.11006384163973,10,PLP_sim_for_JPLP
R1_K[2],0.391456309569487,0.0939879233404368,10,PLP_sim_for_JPLP
R1_K[3],0.27858678390998,0.0756981880599851,10,PLP_sim_for_JPLP
mu0_true,-0.334216534697723,0.345179208226712,10,PLP_sim_for_JPLP
sigma0,0.722062282365803,0.216943542205918,10,PLP_sim_for_JPLP
beta,1.08202459855309,0.0605983815167698,10,PLP_sim_for_JPLP
R1_K[1],0.994370616232019,0.0868222841443398,10,PLP_sim_for_JPLP
R1_K[2],0.406151190177795,0.102073880520909,10,PLP_sim_for_JPLP
R1_K[3],0.210256653334821,0.0404092040812287,10,PLP_sim_for_JPLP
mu0_true,0.218583253801872,0.282305000917062,10,PLP_sim_for_JPLP
sigma0,0.720417562043703,0.23341911845912,10,PLP_sim_for_JPLP
beta,1.11299810792538,0.0606710100123971,10,PLP_sim_for_JPLP
R1_K[1],1.02176624923163,0.092969688209594,10,PLP_sim_for_JPLP
R1_K[2],0.312226475538836,0.0707946324821643,10,PLP_sim_for_JPLP
R1_K[3],0.298455799550081,0.0435076042360907,10,PLP_sim_for_JPLP
mu0_true,0.194591578701265,0.269382231160847,10,PLP_sim_for_JPLP
sigma0,0.499842041140666,0.18947539027795,10,PLP_sim_for_JPLP
beta,1.05870257194342,0.0657160211774893,10,PLP_sim_for_JPLP
R1_K[1],1.11762988200093,0.113506160800622,10,PLP_sim_for_JPLP
R1_K[2],0.464802894983826,0.0915347572658196,10,PLP_sim_for_JPLP
R1_K[3],0.338964844305774,0.0693074946774444,10,PLP_sim_for_JPLP
mu0_true,0.183540146753173,0.256771233469387,10,PLP_sim_for_JPLP
sigma0,0.625334147671368,0.237212844310892,10,PLP_sim_for_JPLP
beta,1.09790082761375,0.0870678143592926,10,PLP_sim_for_JPLP
R1_K[1],0.993835140724153,0.123781970739184,10,PLP_sim_for_JPLP
R1_K[2],0.111575913130967,0.0917518305104684,10,PLP_sim_for_JPLP
R1_K[3],0.203678119529132,0.0638188772069735,10,PLP_sim_for_JPLP
mu0_true,0.918493375458038,0.293368690644368,10,PLP_sim_for_JPLP
sigma0,0.704567469158758,0.253234349716924,10,PLP_sim_for_JPLP
beta,1.01818533580773,0.0566287613736864,10,PLP_sim_for_JPLP
R1_K[1],1.00218314865326,0.0882181182962926,10,PLP_sim_for_JPLP
R1_K[2],0.318996021110913,0.0772825861814479,10,PLP_sim_for_JPLP
R1_K[3],0.230333682691051,0.0423310417238038,10,PLP_sim_for_JPLP
mu0_true,-0.151401891214514,0.311014255956597,10,PLP_sim_for_JPLP
sigma0,0.612602866399609,0.175228839051814,10,PLP_sim_for_JPLP
beta,0.962424825226889,0.0537689141409149,10,PLP_sim_for_JPLP
R1_K[1],1.38087231761576,0.111704472165242,10,PLP_sim_for_JPLP
R1_K[2],0.191591394767787,0.0773040773739953,10,PLP_sim_for_JPLP
R1_K[3],0.230787287850985,0.0480559237267086,10,PLP_sim_for_JPLP
mu0_true,-0.150460982588356,0.271074015795183,10,PLP_sim_for_JPLP
sigma0,0.859859657303172,0.246273353263711,10,PLP_sim_for_JPLP
