term,estimate,std.error,D,sim_scenaio
mu0_true,0.609755828743555,0.251343983041499,10,PLP_sim
sigma0,0.562894693449524,0.190690157082714,10,PLP_sim
beta,1.18759062439437,0.067051431937541,10,PLP_sim
R1_K[1],0.99663405736186,0.096666568943444,10,PLP_sim
R1_K[2],0.350770694971205,0.0819523155736473,10,PLP_sim
R1_K[3],0.227560108062165,0.0435221853692092,10,PLP_sim
mu0_true,0.148737118086548,0.245959188262026,10,PLP_sim
sigma0,0.735780473952693,0.204099228488291,10,PLP_sim
beta,1.09059057553249,0.0574165204386653,10,PLP_sim
R1_K[1],1.0245468204348,0.0928205343607204,10,PLP_sim
R1_K[2],0.414733909231155,0.0821688774132038,10,PLP_sim
R1_K[3],0.259196224688043,0.0569829302590486,10,PLP_sim
mu0_true,-0.193533244923621,0.306836980090138,10,PLP_sim
sigma0,0.483079193763546,0.160424583400409,10,PLP_sim
beta,1.16591885129943,0.0633320911432717,10,PLP_sim
R1_K[1],1.02367547732382,0.0839667263509809,10,PLP_sim
R1_K[2],0.347761385488688,0.0717148937891777,10,PLP_sim
R1_K[3],0.241519285379008,0.0470677935100389,10,PLP_sim
mu0_true,0.316276069935195,0.226739145159746,10,PLP_sim
sigma0,0.652929432360669,0.212652695530659,10,PLP_sim
beta,1.12705640888696,0.058767949974212,10,PLP_sim
R1_K[1],1.0435276364556,0.0941216878194114,10,PLP_sim
R1_K[2],0.290977003498273,0.0724277093444428,10,PLP_sim
R1_K[3],0.198007939711376,0.0508361507389402,10,PLP_sim
mu0_true,0.152369416445439,0.252305524287368,10,PLP_sim
sigma0,0.918195298077708,0.297174364478904,10,PLP_sim
beta,1.22890482387655,0.0527567504767647,10,PLP_sim
R1_K[1],0.974763657442466,0.0618319861174597,10,PLP_sim
R1_K[2],0.312188757926021,0.0586384766309623,10,PLP_sim
R1_K[3],0.237416112730918,0.0361371068184439,10,PLP_sim
mu0_true,0.42448299772786,0.326231105268029,10,PLP_sim
sigma0,0.584879384200816,0.191487491510695,10,PLP_sim
beta,1.26008111341486,0.0654887211127047,10,PLP_sim
R1_K[1],0.887654825932111,0.0787705190882168,10,PLP_sim
R1_K[2],0.381335616338304,0.086037371082177,10,PLP_sim
R1_K[3],0.123860945527415,0.0410912962871913,10,PLP_sim
mu0_true,0.377359013496297,0.23344055262523,10,PLP_sim
sigma0,0.61637609109571,0.210901311279823,10,PLP_sim
beta,1.14295643174496,0.0607184306299007,10,PLP_sim
R1_K[1],1.10572011122699,0.100570302057502,10,PLP_sim
R1_K[2],0.354686724487117,0.0766058249500865,10,PLP_sim
R1_K[3],0.30051026970687,0.048582280227071,10,PLP_sim
mu0_true,-0.0183981794933845,0.283253354455115,10,PLP_sim
sigma0,0.380810227631156,0.124052727468581,10,PLP_sim
beta,1.15035487560482,0.0557834263747273,10,PLP_sim
R1_K[1],0.963468975251608,0.0783437590654887,10,PLP_sim
R1_K[2],0.32066982476029,0.0582274232728908,10,PLP_sim
R1_K[3],0.234870055318592,0.0441048632167193,10,PLP_sim
mu0_true,-0.112578901447008,0.205055440318171,10,PLP_sim
sigma0,0.464370791638268,0.156328569706949,10,PLP_sim
beta,1.2017461341826,0.0694832107706812,10,PLP_sim
R1_K[1],1.11669891569153,0.102661752973451,10,PLP_sim
R1_K[2],0.476587088082807,0.0960080324861071,10,PLP_sim
R1_K[3],0.25597478612558,0.0388901837289429,10,PLP_sim
mu0_true,0.0278050010438033,0.230681484513187,10,PLP_sim
sigma0,0.564099662444717,0.178787721697363,10,PLP_sim
beta,1.11099585075027,0.0455514050601403,10,PLP_sim
R1_K[1],1.10193386990365,0.0664425387620681,10,PLP_sim
R1_K[2],0.386389082546193,0.0818077448169052,10,PLP_sim
R1_K[3],0.270719968908731,0.0393974530209758,10,PLP_sim
mu0_true,-0.364501594964214,0.233084946296409,10,PLP_sim
sigma0,0.115696992424301,0.0670707717048446,10,PLP_sim
beta,1.16895327981445,0.0504328647416078,10,PLP_sim
R1_K[1],1.1617364773225,0.0631301519620231,10,PLP_sim
R1_K[2],0.200158217671221,0.0649126874677473,10,PLP_sim
R1_K[3],0.126810645777187,0.0326154889795864,10,PLP_sim
mu0_true,0.21008487290692,0.128064474561994,10,PLP_sim
sigma0,0.485997155282731,0.169161459535306,10,PLP_sim
beta,1.18235853513027,0.0607270776826418,10,PLP_sim
R1_K[1],1.00579279183888,0.0783457745739568,10,PLP_sim
R1_K[2],0.192253734836712,0.0728258838134355,10,PLP_sim
